0312115578_heure_2019-11-26_au_2020-01-28,,,,,,
Date et heure,t,kWh,Température moyenne (°C),,,
2020-01-01 00:00:00,0,3.24,0,,,
2020-01-01 01:00:00,1,3.08,0,,,
2020-01-01 02:00:00,2,3.04,0,,,
2020-01-01 03:00:00,3,3.08,0,,,
2020-01-01 04:00:00,4,1.9,0,,,
2020-01-01 05:00:00,5,2.18,-1,,,
2020-01-01 06:00:00,6,3.78,-1,,,
2020-01-01 07:00:00,7,2.4,-1,,,
2020-01-01 08:00:00,8,2.4,0,,,
2020-01-01 09:00:00,9,3.52,0,,,
2020-01-01 10:00:00,10,7.52,1,,,
2020-01-01 11:00:00,11,6.1,1,,,
2020-01-01 12:00:00,12,1.72,1,,,
2020-01-01 13:00:00,13,2.5,1,,,
2020-01-01 14:00:00,14,2.22,1,,,
2020-01-01 15:00:00,15,2.48,0,,,
2020-01-01 16:00:00,16,3.86,0,,,
2020-01-01 17:00:00,17,6.6,1,,,
2020-01-01 18:00:00,18,5.82,1,,,
2020-01-01 19:00:00,19,5.04,1,,,
2020-01-01 20:00:00,20,4.7,1,,,
2020-01-01 21:00:00,21,2.08,0,,,
2020-01-01 22:00:00,22,1.84,0,,,
2020-01-01 23:00:00,23,1.92,0,,,
2020-01-02 00:00:00,24,1,0,,,
2020-01-02 01:00:00,25,0.86,0,,,
2020-01-02 02:00:00,26,1.16,0,,,
2020-01-02 03:00:00,27,1.04,-1,,,
2020-01-02 04:00:00,28,1.2,-1,,,
2020-01-02 05:00:00,29,1.46,-2,,,
2020-01-02 06:00:00,30,2.4,-1,,,
2020-01-02 07:00:00,31,0.96,-1,,,
2020-01-02 08:00:00,32,4.1,-1,,,
2020-01-02 09:00:00,33,8.28,0,,,
2020-01-02 10:00:00,34,0.62,0,,,
2020-01-02 11:00:00,35,0.5,1,,,
2020-01-02 12:00:00,36,0.96,2,,,
2020-01-02 13:00:00,37,1.9,2,,,
2020-01-02 14:00:00,38,2.76,2,,,
2020-01-02 15:00:00,39,6.1,2,,,
2020-01-02 16:00:00,40,4.3,2,,,
2020-01-02 17:00:00,41,3.74,2,,,
2020-01-02 18:00:00,42,6.64,3,,,
2020-01-02 19:00:00,43,5.2,2,,,
2020-01-02 20:00:00,44,6.36,3,,,
