Timestamp,t,solar_radiation (kJ/m2)
12/31/2014 23:59,0,0
1/1/2015 0:14,0.25,0
1/1/2015 0:29,0.5,0
1/1/2015 0:44,0.75,0
1/1/2015 0:59,1,0
1/1/2015 1:14,1.25,0
1/1/2015 1:29,1.5,0
1/1/2015 1:44,1.75,0
1/1/2015 1:59,2,0
1/1/2015 2:14,2.25,0
1/1/2015 2:29,2.5,0
1/1/2015 2:44,2.75,0
1/1/2015 2:59,3,0
1/1/2015 3:14,3.25,0
1/1/2015 3:29,3.5,0
1/1/2015 3:44,3.75,0
1/1/2015 3:59,4,0
1/1/2015 4:14,4.25,0
1/1/2015 4:29,4.5,0
1/1/2015 4:44,4.75,0
1/1/2015 4:59,5,0
1/1/2015 5:14,5.25,0
1/1/2015 5:29,5.5,0
1/1/2015 5:44,5.75,0
1/1/2015 5:59,6,0
1/1/2015 6:14,6.25,0
1/1/2015 6:29,6.5,0
1/1/2015 6:44,6.75,0
1/1/2015 6:59,7,0
1/1/2015 7:14,7.25,0
1/1/2015 7:29,7.5,0
1/1/2015 7:44,7.75,0
1/1/2015 7:59,8,0
1/1/2015 8:14,8.25,20
1/1/2015 8:29,8.5,20
1/1/2015 8:44,8.75,20
1/1/2015 8:59,9,20
1/1/2015 9:14,9.25,90
1/1/2015 9:29,9.5,90
1/1/2015 9:44,9.75,90
1/1/2015 9:59,10,90
1/1/2015 10:14,10.25,190
1/1/2015 10:29,10.5,190
1/1/2015 10:44,10.75,190
1/1/2015 10:59,11,190
1/1/2015 11:14,11.25,290
1/1/2015 11:29,11.5,290
1/1/2015 11:44,11.75,290
1/1/2015 11:59,12,290
1/1/2015 12:14,12.25,440
1/1/2015 12:29,12.5,440
1/1/2015 12:44,12.75,440
1/1/2015 12:59,13,440
1/1/2015 13:14,13.25,460
1/1/2015 13:29,13.5,460
1/1/2015 13:44,13.75,460
1/1/2015 13:59,14,460
1/1/2015 14:14,14.25,360
1/1/2015 14:29,14.5,360
1/1/2015 14:44,14.75,360
1/1/2015 14:59,15,360
1/1/2015 15:14,15.25,210
1/1/2015 15:29,15.5,210
1/1/2015 15:44,15.75,210
1/1/2015 15:59,16,210
1/1/2015 16:14,16.25,90
1/1/2015 16:29,16.5,90
1/1/2015 16:44,16.75,90
1/1/2015 16:59,17,90
1/1/2015 17:14,17.25,0
1/1/2015 17:29,17.5,0
1/1/2015 17:44,17.75,0
1/1/2015 17:59,18,0
